id,sample,species,sieve,abundance,biomass,trophic.level,richness,mlO2.mg.h
1,6low-5,Ampithoe sp.,8,1,36.1267,Herbivore,6,8.95E-10
2,6low-5,Erichsonella attenuata,8,7,252.8869,Herbivore,6,2.34E-11
3,mono2-2,Erichsonella attenuata,8,1,36.1267,Herbivore,1,8.95E-10
4,mono2-4,Erichsonella attenuata,8,9,325.1403,Herbivore,1,1.46E-11
5,mono2-1,Erichsonella attenuata,8,2,72.2534,Herbivore,1,2.44E-10
6,6low-5,Ampithoe sp.,5.6,41,601.0231,Herbivore,6,4.62E-12
7,6low-5,Erichsonella attenuata,5.6,13,190.5683,Herbivore,6,3.97E-11
8,6low-5,Gammarus mucronatus,5.6,15,219.8865,Herbivore,6,3.04E-11
9,3low-4,Erichsonella attenuata,5.6,8,117.2728,Herbivore,3,9.87E-11
10,3low-4,Ampithoe sp.,5.6,3,43.9773,Herbivore,3,6.19E-10
11,mono3-6,Ampithoe sp.,5.6,6,87.9546,Herbivore,1,1.69E-10
12,6high-5,Erichsonella attenuata,5.6,5,73.2955,Herbivore,6,2.38E-10
13,6high-2,Erichsonella attenuata,5.6,1,14.6591,Herbivore,6,4.85E-09
14,3low-1,Ampithoe sp.,5.6,3,43.9773,Herbivore,3,6.19E-10
15,mono2-3,Erichsonella attenuata,5.6,10,146.591,Herbivore,1,6.50E-11
16,6high-3,Erichsonella attenuata,5.6,2,29.3182,Herbivore,6,1.32E-09
17,6low-3,Erichsonella attenuata,5.6,1,14.6591,Herbivore,6,4.85E-09
18,3high-2,Erichsonella attenuata,5.6,6,87.9546,Herbivore,3,1.69E-10
19,mono2-2,Erichsonella attenuata,5.6,16,234.5456,Herbivore,1,2.69E-11
20,6low-6,Erichsonella attenuata,5.6,1,14.6591,Herbivore,6,4.85E-09
21,6low-6,Ampithoe sp.,5.6,1,14.6591,Herbivore,6,4.85E-09
22,6low-4,Erichsonella attenuata,5.6,7,102.6137,Herbivore,6,1.27E-10
23,mono2-4,Erichsonella attenuata,5.6,23,337.1593,Herbivore,1,1.36E-11
